method,solution_id,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.57823741266316,10.438759735751036,83.69999999999999,16.299999999999997,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.005",Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,63.32948698670174,12.086707910862549,83.39999999999999,16.6,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.010",Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,62.95155398007206,14.642646853077036,81.3,18.7,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,62.309095908989306,15.414246300555272,78.1,21.5,99.6,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.050",Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,False,60.408565508390495,17.340743242845857,76.7,23.1,99.80000000000001,4-3-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.100",Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,57.22761026290257,20.524070398758667,67.60000000000001,32.4,100.0,5-3-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=55","Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,51.64162620880606,22.496347168696445,55.0,36.0,91.0,5-3-2,Bukayo Saka,Douglas Luiz Soares de Paulo
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=55","Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,51.64162620880606,22.496347168696445,55.0,36.0,91.0,5-3-2,Bukayo Saka,Douglas Luiz Soares de Paulo
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=60","Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,56.62590396366319,18.395698454136987,59.6,26.1,85.7,3-5-2,Bukayo Saka,Cole Palmer
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | actual_remainder | xi_cap=60","Two-stage actual remainder, XI cap £60m",Two-stage,60.0,actual_remainder,,,False,56.62590396366319,18.395698454136987,59.6,26.1,85.7,3-5-2,Bukayo Saka,Cole Palmer
"ARIMA(1,0,1)","ARIMA(1,0,1) | two_stage | fixed_split | xi_cap=65","Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,59.940014747472354,18.337381866740916,64.80000000000001,30.3,95.10000000000001,3-4-3,Bukayo Saka,Ollie Watkins
