series,name,team,position,value,role,is_captain,is_vice_captain,xi_cap,xi_spend,bench_spend,total_spend
"ARIMA (0,0,1)",Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Jordan Pickford,Everton,GK,4.6,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Kieran Trippier,Newcastle,DEF,6.9,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Mohamed Salah,Liverpool,MID,13.0,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Ollie Watkins,Aston Villa,FWD,8.8,XI,False,True,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Phil Foden,Man City,MID,8.1,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Son Heung-min,Spurs,MID,9.6,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",William Saliba,Arsenal,DEF,5.7,XI,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Alphonse Areola,West Ham,GK,4.2,Bench,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Chris Richards,Crystal Palace,DEF,3.9,Bench,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (0,0,1)",Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,83.49999999999999,16.5,99.99999999999999
"ARIMA (1,0,0)",Bukayo Saka,Arsenal,MID,9.1,XI,True,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Kieran Trippier,Newcastle,DEF,6.9,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Mohamed Salah,Liverpool,MID,13.0,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Ollie Watkins,Aston Villa,FWD,8.8,XI,False,True,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Phil Foden,Man City,MID,8.1,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Son Heung-min,Spurs,MID,9.6,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",William Saliba,Arsenal,DEF,5.7,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Đorđe Petrović,Chelsea,GK,4.5,XI,False,False,83.5,83.39999999999999,16.5,99.89999999999999
"ARIMA (1,0,0)",Alphonse Areola,West Ham,GK,4.2,Bench,False,False,83.5,83.39999999999999,16.5,99.89999999999999
