bootstrap,model,cost_spearman,normalized_cost_rmse,top15_jaccard,squad_jaccard,xi_jaccard,captain_same
62,Parsimonious Ridge,0.9886714041496875,0.0404231093261425,0.875,0.6666666666666666,0.8333333333333334,True
62,Full LASSO,0.988512925633069,0.047551217054424326,0.7647058823529411,0.875,1.0,True
63,Full Ridge,0.9964634418453043,0.04186921455704586,1.0,1.0,1.0,True
63,Reduced Ridge,0.9965622039416037,0.03741220046373883,1.0,1.0,1.0,True
63,Parsimonious Ridge,0.9991269764061311,0.04444643709028223,0.875,0.5,0.5714285714285714,True
63,Full LASSO,0.9969186557716847,0.03722160888202622,0.875,1.0,1.0,True
64,Full Ridge,0.9992540961423172,0.05387866695554469,0.875,1.0,1.0,True
64,Reduced Ridge,0.9990459039764475,0.0517409257206089,0.7647058823529411,0.6666666666666666,0.8333333333333334,True
64,Parsimonious Ridge,0.9989174299077171,0.0455215650637833,0.875,0.5789473684210527,0.8333333333333334,True
64,Full LASSO,0.9974290354524423,0.04273348407705125,0.875,1.0,1.0,False
65,Full Ridge,0.9977468490359476,0.06500619609164116,0.7647058823529411,0.6666666666666666,0.8333333333333334,True
65,Reduced Ridge,0.972363677626266,0.065090409918039,0.7647058823529411,0.5789473684210527,0.8333333333333334,False
65,Parsimonious Ridge,0.9702645663622009,0.06601812243092109,0.875,0.5789473684210527,0.8333333333333334,True
