model,position,alpha,cv_rmse_mean,cv_rmse_se,cv_mae_mean,folds,one_se_threshold,selected,selection_rule
Reduced Ridge,MID,31.622776601683793,2.0905728440475837,0.06348132630256996,1.090013065140224,3,2.1540541703501535,True,minimum rolling-origin RMSE
Reduced Ridge,MID,100.0,2.090586253071658,0.06362341795218365,1.090740584047695,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,316.2277660168379,2.091185272428031,0.06399963575221344,1.0936980343377531,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,MID,1000.0,2.0947457247057453,0.0646803302360951,1.104077720625122,3,2.1540541703501535,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,0.001,2.2593816300507026,0.10651136816761106,1.1884604335445008,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,0.0031622776601683794,2.2593816782106484,0.10651172253545019,1.188460652318178,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,0.01,2.259381830495198,0.10651284305426113,1.1884613441038976,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,0.03162277660168379,2.259382311955317,0.10651638553946642,1.1884635313486214,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,0.1,2.259383833400673,0.10652757881311613,1.1884704442895109,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,0.31622776601683794,2.2593886337895053,0.1065628850667273,1.1884922677053942,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,1.0,2.2594036997228786,0.10667364872207621,1.188560910940075,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,3.1622776601683795,2.2594500413374186,0.10701552085227835,1.1887804198243355,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,10.0,2.2595804024708634,0.10802433262926557,1.189458820150195,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,31.622776601683793,2.259817020095791,0.11071177785837906,1.191422573720972,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,100.0,2.2596215005665328,0.11670166578631037,1.196459360763251,3,2.3861008317986707,False,minimum rolling-origin RMSE
Reduced Ridge,FWD,316.2277660168379,2.2587325960687807,0.12736823572989012,1.2093470987493193,3,2.3861008317986707,True,minimum rolling-origin RMSE
Reduced Ridge,FWD,1000.0,2.2663320844450463,0.14312460239701583,1.242699694866441,3,2.3861008317986707,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,0.001,1.4946756050703653,0.12634372445889896,0.6697883329433251,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,0.0031622776601683794,1.4946754332850896,0.12634291928676727,0.6697889423607201,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,0.01,1.494674890672461,0.12634037374305152,0.6697908694252942,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,0.03162277660168379,1.4946731809751155,0.12633233036286154,0.6697969625142678,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,0.1,1.4946678361718204,0.12630695814745815,0.6698162223145138,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,0.31622776601683794,1.4946515451818294,0.12622735061902396,0.6698770448851974,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,1.0,1.4946059339106077,0.1259817080743659,0.6700685640519977,3,1.6197759816564687,False,minimum rolling-origin RMSE
Parsimonious Ridge,GK,3.1622776601683795,1.4945148979361893,0.12526108372027955,0.6707562780534936,3,1.6197759816564687,True,minimum rolling-origin RMSE
