model,name,position,reference_cost,bootstrap_mean_cost,bootstrap_sd_cost,absolute_cv
Full LASSO,Mahamadou Susoho,MID,0.2762447155466481,0.27670926703664556,0.020135451915400476,0.07276753731827083
Full LASSO,Mahmoud Dahoud,MID,0.2844334976314921,0.2849288068129399,0.020129236176933657,0.07064654642009857
Full LASSO,Malang Sarr,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Malcolm Ebiowei,MID,0.2762447155466481,0.276730899212264,0.020129826002892714,0.07274151914438838
Full LASSO,Malo Gusto,DEF,2.2993674353827926,2.279819125938255,0.11558994907962726,0.05070136826405316
Full LASSO,Manor Solomon,MID,0.27738065016425567,0.27790430986026854,0.020115817743582533,0.07238397185598472
Full LASSO,Manuel Akanji,DEF,3.094442846185428,3.084898796795981,0.07251519543461653,0.02350650708863831
Full LASSO,Manuel Benson Hedilazio,MID,0.3980921736118935,0.3983839143084759,0.02009066349145818,0.05043040838215575
Full LASSO,Marc Cucurella Saseta,DEF,0.42330674641081634,0.42395240255739647,0.027068528665726812,0.06384803695519135
Full LASSO,Marc Guéhi,DEF,0.7000617877525137,0.7005057188706596,0.03233805365455501,0.046163868164687843
Full LASSO,Marcelo de Araújo Pitaluga Filho,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Marcos Senesi,DEF,1.8916112429299994,1.8846327477326246,0.06709374915147297,0.03560043686611756
Full LASSO,Marcus Bettinelli,GK,0.21147864058502214,0.2126327301990618,0.029247784595325076,0.13755071746454078
Full LASSO,Marcus Oliveira Alencar,MID,0.2762447155466481,0.2767454917387381,0.020126103765317146,0.07272423351458682
Full LASSO,Marcus Rashford,MID,2.8998790402320553,2.8972913009223626,0.061680357396891976,0.021288973386022945
Full LASSO,Marcus Tavernier,MID,2.661254840825115,2.6633137431420146,0.06046530520620164,0.022703035029912912
Full LASSO,Marek Rodák,GK,0.21797181377144878,0.21912590338548865,0.02924778459532282,0.13347479300003068
Full LASSO,Mario Lemina,MID,2.5815801924792723,2.563456434470941,0.0618786997128327,0.024138775631505332
Full LASSO,Mark Flekken,GK,2.9209868054409096,2.9126774660371044,0.1385395215811771,0.04756431949524076
Full LASSO,Mark Gillespie,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Mark O’Mahony,FWD,0.4164965560034109,0.41198443528422546,0.04667269902595174,0.11328752988872635
Full LASSO,Mark Travers,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Martin Dubravka,GK,1.4967951995335544,1.4925752855387941,0.08236690432283952,0.05518442193226218
Full LASSO,Martin Ødegaard,MID,4.733226314736642,4.737981114977211,0.14762828553474502,0.031158479097368685
Full LASSO,Marvelous Nakamba,MID,0.30494529585475744,0.3060742747255462,0.019795867374902656,0.06467667821039
Full LASSO,Mason Burstow,FWD,0.4165257487700999,0.41209471882215937,0.04663973330810765,0.11317721673651236
Full LASSO,Mason Holgate,DEF,0.4272042925461801,0.4283928044950339,0.04616802780195932,0.10777031574183342
Full LASSO,Mason Mount,MID,0.2790993229784519,0.2802767388267228,0.01999704788353882,0.07134751163171524
Full LASSO,Mateo Kovačić,MID,1.3483244024174423,1.3518910016959766,0.039668675788414424,0.029343102172178975
Full LASSO,Matheus França de Oliveira,MID,1.692360714801529,1.6994806742096205,0.037128158616971864,0.021846767180355907
Full LASSO,Matheus Luiz Nunes,MID,1.6878193124978713,1.6884379082557868,0.05702500982416652,0.03377382700621504
Full LASSO,Matheus Santos Carneiro Da Cunha,FWD,2.1896151713459426,2.1728554265427977,0.08030943733904478,0.03696032251295434
Full LASSO,Mathias Jensen,MID,2.097715281364011,2.110080007972799,0.07656745252630724,0.03628651626336544
Full LASSO,Mathias Jorgensen,DEF,0.8399504333631992,0.8397120274138505,0.05041426299560619,0.06003756210432319
Full LASSO,Matija Šarkić,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Matt Doherty,DEF,0.9208567204315776,0.920035358435288,0.02685092908014008,0.029184670821571123
Full LASSO,Matt Macey,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Matt Ritchie,MID,1.0934393714515882,1.0813109732675448,0.044200776972247585,0.04087702618857189
Full LASSO,Matt Targett,DEF,0.3986877963649211,0.3995169447537589,0.02747229304406845,0.06876377436506709
Full LASSO,Matt Turner,GK,0.5544718431421385,0.5536816852091813,0.039897422678818704,0.07205841143859659
Full LASSO,Matthew Cox,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Matthew Dibley-Dias,MID,0.2762447155466481,0.2767150985011348,0.020133922621988713,0.07276047722385537
Full LASSO,Matthew Whittingham,MID,0.2762447155466481,0.27671078918387443,0.02013505183086739,0.07276569117616748
Full LASSO,Matty Cash,DEF,1.3987025607128705,1.3926410381541052,0.05692805991305658,0.04087776990150501
Full LASSO,Matz Sels,GK,2.282239236264669,2.2725360624470645,0.1177070450443204,0.051795457502035666
Full LASSO,Mauro Bandeira,MID,0.2762447155466481,0.2767086119369083,0.02013562429971803,0.07276833257473427
Full LASSO,Max Aarons,DEF,0.44354856828826417,0.44397302649537196,0.026644057584036856,0.06001278454765449
Full LASSO,Max Kilman,DEF,2.45497263986637,2.4482407334793916,0.070075406135268,0.02862275967268881
Full LASSO,Max Kinsey,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Max Kinsey-Wellings,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Max Lowe,DEF,0.7324093521629917,0.7302850110836846,0.03392708630010609,0.0464573225318715
Full LASSO,Maxime Esteve,DEF,1.0740870816636952,1.0738607278303118,0.05880450108444526,0.0547598953574335
Full LASSO,Maxwel Cornet,MID,0.793733361302633,0.7900729041127792,0.034912426136818664,0.04418886656545189
Full LASSO,Micah Hamilton,MID,0.2762447155466481,0.2767091413209543,0.02013548498732615,0.07276768989706432
Full LASSO,Michael Keane,DEF,0.4875989983803802,0.48806009015634766,0.026790025595803926,0.05489083442004421
Full LASSO,Michael Ndiweni,FWD,0.4182092996988018,0.41367342439348015,0.04668239879327932,0.11284843560285299
Full LASSO,Michael Obafemi,FWD,0.4184398476104962,0.41389564593349565,0.04667712701555812,0.11277511004080037
Full LASSO,Michael Olakigbe,MID,0.30504228787617,0.30548769328224584,0.020064298225861636,0.06567956309560351
Full LASSO,Michael Olise,MID,1.4624844443796319,1.4599867988122577,0.03428402758107253,0.023482422997909022
Full LASSO,Michail Antonio,FWD,0.7549161855168067,0.776462054605689,0.08225124021506776,0.10593079175882901
Full LASSO,Michale Olakigbe,MID,0.44583476292241747,0.4448380695657475,0.02082565430314374,0.04681625905686043
Full LASSO,Michał Karbownik,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
