name,lag_expected_assists,lag_expected_goal_involvements,lag_expected_goals,lag_expected_goals_conceded,lag_ict_index,lag_selected,lag_starts,lag_total_points,history_gameweeks,team,position,value,model_prediction,cost_vector,model,future_total_points,future_mean_points,future_appearances
Levi Colwill,0.008342274400037845,0.016707161692195882,0.008364887292158035,1.2662107661447373,1.744189629802546,515306.70033154706,0.5179115733344708,1.5875396950423537,25,Chelsea,DEF,4.7,1.227992315206585,1.3478414418185078,Full LASSO,1.0,0.08333333333333333,1
Lewis Cook,0.06996769936836755,0.0790676958614146,0.009099996493047036,1.5697771216773067,2.5537678975914115,2599.6087978398523,0.9784540731121112,1.5567492730016868,25,Bournemouth,MID,5.0,2.091926358013814,1.9135339963431048,Full LASSO,38.0,3.1666666666666665,11
Lewis Dobbin,0.0079879422174804,0.01189879012950219,0.00391084791202179,0.05858257144638178,0.2798842337369502,5772.486592636431,2.970159603177464e-05,0.2592068460124565,26,Everton,MID,4.5,0.5094987612086121,0.4260681228098936,Full LASSO,3.0,0.25,3
Lewis Dunk,0.12050857375823013,0.24457384840657503,0.124260366859898,0.8396069570835625,7.960948731301544,414212.8170462479,0.9631715502790563,7.199171621395854,26,Brighton,DEF,5.1,2.5258722552199036,4.083638710611886,Full LASSO,29.0,2.4166666666666665,10
Lewis Hall,0.00028179986113228023,0.0003046364437374919,2.2836582605211704e-05,0.08505448490447122,0.030181967001788657,15523.2420461659,0.0011418291302605853,0.10836214743445893,26,Newcastle,DEF,4.3,0.6034694904389968,0.4384337094374841,Full LASSO,31.0,2.5833333333333335,9
Lewis Koumas,0.0,0.0,0.0,0.0,0.0,98.66666666666666,0.0,0.0,2,Liverpool,FWD,4.5,0.6247448340051164,0.4164965560034109,Full LASSO,0.0,0.0,0
Lewis Miley,0.023430050107649324,0.03757798207208398,0.01414793196443466,2.2333599472071293,2.8752649801131205,18858.531675252278,0.9890455767815627,2.26429831902876,26,Newcastle,MID,4.5,2.241076028051803,2.2488167917107886,Full LASSO,5.0,0.4166666666666667,2
Lewis O'Brien,0.0,0.0,0.0,0.0,0.0,830.7305519750821,0.0,0.0,26,Nott'm Forest,MID,4.9,0.41436707331997213,0.2762447155466481,Full LASSO,0.0,0.0,0
Lewis Orford,0.0,0.0,0.0,0.0,0.0,128.0713305898491,0.0,0.0,7,West Ham,MID,4.5,0.41436707331997213,0.2762447155466481,Full LASSO,0.0,0.0,0
Lisandro Martínez,2.84640295304507e-06,2.84640295304507e-06,0.0,0.27872568715084023,0.47346650920531197,233630.94473179584,0.1648095392711569,0.6368101074823884,26,Man Utd,DEF,4.7,0.7853046012167997,0.7358064366386625,Full LASSO,3.0,0.25,3
