series,name,objective_coefficient,bench_forecast,xi_cap
Simple Avg. (Budget = 55),Lucas Digne,2.269230769230769,2.269230769230769,55.0
Simple Avg. (Budget = 55),Lucas Tolentino Coelho de Lima,2.5,2.5,55.0
Simple Avg. (Budget = 55),Luis Díaz,3.730769230769231,3.730769230769231,55.0
Simple Avg. (Budget = 55),Luis Sinisterra,1.9047619047619047,1.9047619047619047,55.0
Simple Avg. (Budget = 55),Lukasz Fabianski,0.5,0.5,55.0
Simple Avg. (Budget = 55),Luke Berry,0.24,0.24,55.0
Simple Avg. (Budget = 55),Luke Chambers,0.0,0.0,55.0
Simple Avg. (Budget = 55),Luke Cundle,0.0,0.0,55.0
Simple Avg. (Budget = 55),Luke Freeman,0.0,0.0,55.0
Simple Avg. (Budget = 55),Luke Harris,0.08333333333333333,0.08333333333333333,55.0
Simple Avg. (Budget = 55),Luke McNally,0.0,0.0,55.0
Simple Avg. (Budget = 55),Luke Plange,0.0,0.0,55.0
Simple Avg. (Budget = 55),Luke Shaw,1.1923076923076923,1.1923076923076923,55.0
Simple Avg. (Budget = 55),Luke Thomas,0.30434782608695654,0.30434782608695654,55.0
Simple Avg. (Budget = 55),Lyle Foster,2.0,2.0,55.0
Simple Avg. (Budget = 55),Mackenzie Hunt,0.0,0.0,55.0
Simple Avg. (Budget = 55),Mads Bech Sørensen,0.0,0.0,55.0
Simple Avg. (Budget = 55),Mads Bidstrup,0.0,0.0,55.0
Simple Avg. (Budget = 55),Mads Juel Andersen,0.6,0.6,55.0
Simple Avg. (Budget = 55),Mads Roerslev Rasmussen,1.5384615384615385,1.5384615384615385,55.0
Simple Avg. (Budget = 55),Mahamadou Susoho,0.0,0.0,55.0
Simple Avg. (Budget = 55),Mahmoud Dahoud,0.5384615384615384,0.5384615384615384,55.0
Simple Avg. (Budget = 55),Malang Sarr,0.0,0.0,55.0
Simple Avg. (Budget = 55),Malcolm Ebiowei,0.0,0.0,55.0
Simple Avg. (Budget = 55),Malo Gusto,1.88,1.88,55.0
Simple Avg. (Budget = 55),Manor Solomon,0.56,0.56,55.0
Simple Avg. (Budget = 55),Manuel Akanji,2.6538461538461537,2.6538461538461537,55.0
Simple Avg. (Budget = 55),Manuel Benson Hedilazio,0.19230769230769232,0.19230769230769232,55.0
Simple Avg. (Budget = 55),Marc Cucurella Saseta,0.4,0.4,55.0
Simple Avg. (Budget = 55),Marc Guéhi,2.230769230769231,2.230769230769231,55.0
Simple Avg. (Budget = 55),Marcelo de Araújo Pitaluga Filho,0.0,0.0,55.0
Simple Avg. (Budget = 55),Marcos Senesi,2.72,2.72,55.0
Simple Avg. (Budget = 55),Marcus Bettinelli,-0.04,-0.04,55.0
Simple Avg. (Budget = 55),Marcus Oliveira Alencar,0.0,0.0,55.0
Simple Avg. (Budget = 55),Marcus Rashford,3.1923076923076925,3.1923076923076925,55.0
Simple Avg. (Budget = 55),Marcus Tavernier,2.84,2.84,55.0
Simple Avg. (Budget = 55),Marek Rodák,-0.038461538461538464,-0.038461538461538464,55.0
Simple Avg. (Budget = 55),Mario Lemina,2.6538461538461537,2.6538461538461537,55.0
Simple Avg. (Budget = 55),Mark Flekken,2.8076923076923075,2.8076923076923075,55.0
Simple Avg. (Budget = 55),Mark Gillespie,0.0,0.0,55.0
Simple Avg. (Budget = 55),Mark O’Mahony,0.0,0.0,55.0
Simple Avg. (Budget = 55),Mark Travers,0.0,0.0,55.0
Simple Avg. (Budget = 55),Martin Dubravka,1.3461538461538463,1.3461538461538463,55.0
Simple Avg. (Budget = 55),Martin Ødegaard,4.461538461538462,4.461538461538462,55.0
Simple Avg. (Budget = 55),Marvelous Nakamba,0.84,0.84,55.0
Simple Avg. (Budget = 55),Mason Burstow,0.08,0.08,55.0
Simple Avg. (Budget = 55),Mason Holgate,-0.11538461538461539,-0.11538461538461539,55.0
Simple Avg. (Budget = 55),Mason Mount,0.46153846153846156,0.46153846153846156,55.0
Simple Avg. (Budget = 55),Mateo Kovačić,1.2307692307692308,1.2307692307692308,55.0
Simple Avg. (Budget = 55),Matheus França de Oliveira,0.5769230769230769,0.5769230769230769,55.0
Simple Avg. (Budget = 55),Matheus Luiz Nunes,0.9615384615384616,0.9615384615384616,55.0
Simple Avg. (Budget = 55),Matheus Santos Carneiro Da Cunha,4.153846153846154,4.153846153846154,55.0
Simple Avg. (Budget = 55),Mathias Jensen,2.923076923076923,2.923076923076923,55.0
Simple Avg. (Budget = 55),Mathias Jorgensen,0.19230769230769232,0.19230769230769232,55.0
Simple Avg. (Budget = 55),Matija Šarkić,0.0,0.0,55.0
Simple Avg. (Budget = 55),Matt Doherty,1.1538461538461537,1.1538461538461537,55.0
Simple Avg. (Budget = 55),Matt Macey,0.0,0.0,55.0
Simple Avg. (Budget = 55),Matt Ritchie,0.46153846153846156,0.46153846153846156,55.0
Simple Avg. (Budget = 55),Matt Targett,0.07692307692307693,0.07692307692307693,55.0
