series,policy,GW,weekly_points,base_points,captain_bonus,captain_used,autosubs_used,substitute_points,cumulative_points
"ARIMA (2,1,1)",static,38,41.0,31.0,10.0,Daniel Muñoz,2,3.0,553.0
"ARIMA (1,1,2)",static,27,57.0,56.0,1.0,Chris Richards,1,3.0,57.0
"ARIMA (1,1,2)",static,28,42.0,40.0,2.0,Chris Richards,1,2.0,99.0
"ARIMA (1,1,2)",static,29,13.0,13.0,0.0,,1,8.0,112.0
"ARIMA (1,1,2)",static,30,32.0,30.0,2.0,Chris Richards,1,2.0,144.0
"ARIMA (1,1,2)",static,31,24.0,22.0,2.0,Daniel Muñoz,2,4.0,168.0
"ARIMA (1,1,2)",static,32,48.0,48.0,0.0,Daniel Muñoz,3,6.0,216.0
"ARIMA (1,1,2)",static,33,39.0,33.0,6.0,Daniel Muñoz,2,4.0,255.0
"ARIMA (1,1,2)",static,34,76.0,70.0,6.0,Chris Richards,1,3.0,331.0
"ARIMA (1,1,2)",static,35,41.0,39.0,2.0,Chris Richards,1,2.0,372.0
"ARIMA (1,1,2)",static,36,70.0,59.0,11.0,Chris Richards,2,5.0,442.0
"ARIMA (1,1,2)",static,37,52.0,50.0,2.0,Chris Richards,0,0.0,494.0
"ARIMA (1,1,2)",static,38,38.0,32.0,6.0,Chris Richards,1,2.0,532.0
"ARIMA (2,1,2)",static,27,54.0,53.0,1.0,Daniel Muñoz,2,12.0,54.0
"ARIMA (2,1,2)",static,28,45.0,41.0,4.0,Daniel Muñoz,1,2.0,99.0
"ARIMA (2,1,2)",static,29,15.0,15.0,0.0,,1,13.0,114.0
"ARIMA (2,1,2)",static,30,28.0,26.0,2.0,Daniel Muñoz,2,8.0,142.0
"ARIMA (2,1,2)",static,31,36.0,34.0,2.0,Daniel Muñoz,3,8.0,178.0
"ARIMA (2,1,2)",static,32,50.0,50.0,0.0,Daniel Muñoz,3,5.0,228.0
"ARIMA (2,1,2)",static,33,34.0,28.0,6.0,Daniel Muñoz,2,5.0,262.0
"ARIMA (2,1,2)",static,34,79.0,72.0,7.0,Daniel Muñoz,1,5.0,341.0
"ARIMA (2,1,2)",static,35,46.0,44.0,2.0,Daniel Muñoz,1,6.0,387.0
"ARIMA (2,1,2)",static,36,67.0,54.0,13.0,Daniel Muñoz,1,2.0,454.0
"ARIMA (2,1,2)",static,37,46.0,45.0,1.0,Daniel Muñoz,2,11.0,500.0
"ARIMA (2,1,2)",static,38,40.0,30.0,10.0,Daniel Muñoz,2,2.0,540.0
ICT Score,static,27,75.0,68.0,7.0,Bukayo Saka,1,8.0,75.0
ICT Score,static,28,52.0,50.0,2.0,Bukayo Saka,1,2.0,127.0
ICT Score,static,29,7.0,7.0,0.0,,1,3.0,134.0
ICT Score,static,30,33.0,30.0,3.0,Bukayo Saka,2,6.0,167.0
ICT Score,static,31,67.0,47.0,20.0,Phil Foden,1,0.0,234.0
ICT Score,static,32,67.0,57.0,10.0,Bukayo Saka,2,5.0,301.0
ICT Score,static,33,41.0,39.0,2.0,Bukayo Saka,2,2.0,342.0
ICT Score,static,34,99.0,90.0,9.0,Bukayo Saka,2,9.0,441.0
ICT Score,static,35,44.0,32.0,12.0,Bukayo Saka,3,5.0,485.0
ICT Score,static,36,52.0,42.0,10.0,Bukayo Saka,3,16.0,537.0
ICT Score,static,37,56.0,54.0,2.0,Bukayo Saka,1,2.0,593.0
ICT Score,static,38,70.0,55.0,15.0,Phil Foden,2,5.0,663.0
Robust ICT Score,static,27,72.0,65.0,7.0,Bukayo Saka,0,0.0,72.0
Robust ICT Score,static,28,38.0,36.0,2.0,Bukayo Saka,1,2.0,110.0
Robust ICT Score,static,29,16.0,16.0,0.0,,1,3.0,126.0
Robust ICT Score,static,30,27.0,24.0,3.0,Bukayo Saka,2,6.0,153.0
Robust ICT Score,static,31,68.0,48.0,20.0,Phil Foden,1,0.0,221.0
Robust ICT Score,static,32,58.0,48.0,10.0,Bukayo Saka,2,5.0,279.0
Robust ICT Score,static,33,57.0,55.0,2.0,Bukayo Saka,2,2.0,336.0
Robust ICT Score,static,34,105.0,96.0,9.0,Bukayo Saka,1,6.0,441.0
Robust ICT Score,static,35,55.0,43.0,12.0,Bukayo Saka,2,4.0,496.0
Robust ICT Score,static,36,76.0,66.0,10.0,Bukayo Saka,2,13.0,572.0
Robust ICT Score,static,37,43.0,41.0,2.0,Bukayo Saka,0,0.0,615.0
Robust ICT Score,static,38,61.0,46.0,15.0,Phil Foden,2,3.0,676.0
Involvement,static,27,56.0,49.0,7.0,Bukayo Saka,3,22.0,56.0
Involvement,static,28,26.0,24.0,2.0,Bukayo Saka,3,6.0,82.0
Involvement,static,29,5.0,5.0,0.0,,1,3.0,87.0
Involvement,static,30,22.0,19.0,3.0,Bukayo Saka,3,8.0,109.0
Involvement,static,31,12.0,11.0,1.0,Enes Ünal,1,0.0,121.0
Involvement,static,32,50.0,40.0,10.0,Bukayo Saka,2,5.0,171.0
Involvement,static,33,24.0,22.0,2.0,Bukayo Saka,2,2.0,195.0
Involvement,static,34,51.0,42.0,9.0,Bukayo Saka,2,9.0,246.0
Involvement,static,35,55.0,43.0,12.0,Bukayo Saka,2,3.0,301.0
Involvement,static,36,68.0,58.0,10.0,Bukayo Saka,3,16.0,369.0
Involvement,static,37,39.0,37.0,2.0,Bukayo Saka,3,6.0,408.0
Involvement,static,38,29.0,24.0,5.0,Enes Ünal,4,13.0,437.0
Linear Regression,static,27,58.0,57.0,1.0,Daniel Muñoz,2,1.0,58.0
Linear Regression,static,28,44.0,40.0,4.0,Daniel Muñoz,2,3.0,102.0
Linear Regression,static,29,3.0,3.0,0.0,,0,0.0,105.0
Linear Regression,static,30,42.0,40.0,2.0,Daniel Muñoz,0,0.0,147.0
Linear Regression,static,31,61.0,59.0,2.0,Daniel Muñoz,1,2.0,208.0
Linear Regression,static,32,53.0,53.0,0.0,Daniel Muñoz,1,6.0,261.0
Linear Regression,static,33,52.0,46.0,6.0,Daniel Muñoz,1,-1.0,313.0
Linear Regression,static,34,113.0,106.0,7.0,Daniel Muñoz,2,26.0,426.0
Linear Regression,static,35,52.0,50.0,2.0,Daniel Muñoz,2,8.0,478.0
Linear Regression,static,36,79.0,66.0,13.0,Daniel Muñoz,1,5.0,557.0
Linear Regression,static,37,69.0,68.0,1.0,Daniel Muñoz,2,8.0,626.0
Linear Regression,static,38,62.0,52.0,10.0,Daniel Muñoz,2,7.0,688.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,27,80.0,67.0,13.0,Ollie Watkins,1,8.0,80.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,28,29.0,27.0,2.0,Ollie Watkins,1,2.0,109.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,29,11.0,9.0,2.0,Ollie Watkins,2,5.0,120.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,30,53.0,52.0,1.0,Ollie Watkins,2,6.0,173.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,31,47.0,47.0,0.0,,2,1.0,220.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,32,70.0,57.0,13.0,Ollie Watkins,2,2.0,290.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,33,33.0,26.0,7.0,Ollie Watkins,2,2.0,323.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,34,104.0,95.0,9.0,Ollie Watkins,0,0.0,427.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,35,49.0,47.0,2.0,Ollie Watkins,1,3.0,476.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,36,57.0,55.0,2.0,Ollie Watkins,0,0.0,533.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,37,65.0,60.0,5.0,Ollie Watkins,0,0.0,598.0
Hybrid Simple Avg. 1:2 (Higher Total Points),static,38,35.0,33.0,2.0,Ollie Watkins,2,4.0,633.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,27,80.0,67.0,13.0,Ollie Watkins,1,8.0,80.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,28,29.0,27.0,2.0,Ollie Watkins,1,2.0,109.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,29,11.0,9.0,2.0,Ollie Watkins,2,5.0,120.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,30,53.0,52.0,1.0,Ollie Watkins,2,6.0,173.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,31,47.0,47.0,0.0,,2,1.0,220.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,32,70.0,57.0,13.0,Ollie Watkins,2,2.0,290.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,33,33.0,26.0,7.0,Ollie Watkins,2,2.0,323.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,34,104.0,95.0,9.0,Ollie Watkins,0,0.0,427.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,35,49.0,47.0,2.0,Ollie Watkins,1,3.0,476.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,36,57.0,55.0,2.0,Ollie Watkins,0,0.0,533.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,37,65.0,60.0,5.0,Ollie Watkins,0,0.0,598.0
Hybrid Simple Avg. 2:1 (Lower Total Points),static,38,35.0,33.0,2.0,Ollie Watkins,2,4.0,633.0
Hybrid Weighted 1:2 (Higher Total Points),static,27,76.0,69.0,7.0,Bukayo Saka,1,8.0,76.0
Hybrid Weighted 1:2 (Higher Total Points),static,28,46.0,44.0,2.0,Bukayo Saka,0,0.0,122.0
Hybrid Weighted 1:2 (Higher Total Points),static,29,7.0,5.0,2.0,Ollie Watkins,1,3.0,129.0
Hybrid Weighted 1:2 (Higher Total Points),static,30,56.0,53.0,3.0,Bukayo Saka,0,0.0,185.0
Hybrid Weighted 1:2 (Higher Total Points),static,31,64.0,64.0,0.0,,1,0.0,249.0
